13
2 3
76	27	335
49	14	382
19	36	958
97	64	11
20	47	776
62	67	576
54	95	369
36	20	353
12	20	55
4	80	602
62	25	88
19	22	826
41	88	637
40	19	870
92	45	291
35	11	492
39	56	424
22	3	472
18	10	141
75	7	703
81	20	733
89	42	305
24	28	565
2	23	158
29	52	697
73	38	864
99	99	3
25	39	745
72	68	586
45	56	282
44	9	1000
49	19	354
38	83	292
92	34	482
41	11	588
41	34	861
70	77	338
94	4	997
24	39	813
13	52	973
51	64	511
69	31	460
72	83	236
99	86	546
99	47	514
94	22	311
22	52	35
59	41	149
7	8	853
17	22	758
84	45	868
50	91	782
4	16	209
45	50	811
34	66	976
21	79	97
18	33	987
50	2	776
24	8	696
38	88	940
78	78	405
46	49	250
97	11	734
15	88	899
9	92	27
56	8	437
39	25	894
27	88	116
16	47	380
69	85	916
17	65	85
54	80	578
90	12	111
49	45	825
89	37	804
39	0	50
46	2	790
96	97	341
45	95	898
90	70	335
52	7	795
8	45	129
92	81	321
95	87	474
77	50	469
17	34	987
46	78	695
69	69	760
37	32	954
31	9	298
73	47	594
44	38	643
36	56	547
62	96	512
91	84	263
9	69	866
70	18	848
93	19	848
22	58	301
41	67	23
97	18	41
23	34	510
29	15	774
64	28	21
1	11	820
52	65	989
31	99	698
56	30	448
94	63	836
62	43	118
4	60	938
40	82	510
21	60	96
13	51	107
60	97	261
91	97	817
18	62	611
8	28	323
88	74	688
21	66	701
79	63	603
20	46	9
99	96	548
59	88	500
18	51	552
54	45	384
77	70	174
80	99	992
52	16	663
4	77	523
78	4	837
13	82	475
63	89	194
65	76	448
12	46	555
18	56	55
11	30	853
68	39	642
83	84	924
12	27	483
42	12	725
50	64	899
1	25	816
18	47	6
98	90	225
96	4	385
11	42	374
43	95	797
66	12	952
47	41	413
25	36	679
24	89	618
63	41	996
64	75	830
70	1	293
65	31	622
42	64	192
87	14	134
88	26	405
93	55	550
58	96	406
22	83	312
43	6	738
38	99	794
22	5	741
57	95	791
60	43	803
20	37	297
18	18	257
52	52	737
3	71	925
87	82	621
58	13	240
2	8	525
99	11	251
16	0	457
40	76	501
38	5	841
32	97	570
34	92	748
89	1	467
40	76	652
0	51	518
18	23	505
5	82	346
66	98	903
88	5	201
68	7	444
33	57	696
12	7	820
67	9	821
28	59	810
16	44	813
82	45	752
50	17	824
41	33	703
87	4	608
81	12	918
68	54	730
52	12	725
58	2	1
63	37	290
5	46	682
5	66	634
4	82	353
12	1	60
12	38	15
2	82	150
72	94	622
37	73	296
46	41	357
65	42	828
13	94	870
42	91	798
29	0	643
11	27	198
8	76	862
28	16	991
89	65	578
17	92	774
79	11	765
63	14	190
82	43	106
38	17	149
52	17	104
49	61	863
18	18	597
45	47	567
14	19	672
72	83	260
9	90	37
50	6	994
46	87	217
48	58	482
34	78	128
98	22	703
46	94	472
6	66	853
85	85	47
36	7	497
48	99	511
68	81	57
32	45	999
87	77	566
99	82	402
28	3	821
89	49	294
42	8	721
52	81	948
58	29	695
94	93	677
84	32	616
12	64	982
72	40	920
67	86	509
69	91	499
93	15	864
37	47	991
96	12	874
13	65	166
33	81	606
6	80	942
7	82	823
39	42	675
83	13	177
69	23	421
48	2	395
74	99	203
40	31	554
11	69	864
36	19	91
97	91	533
26	1	487
69	96	385
11	61	409
64	69	42
42	83	84
51	25	980
36	7	854
47	24	523
98	14	548
73	55	455
70	9	467
89	44	853
44	59	357
87	11	735
15	51	275
44	91	651
37	37	685
22	85	536
35	90	255
14	1	8
29	0	273
29	73	872
72	14	493
84	41	535
69	21	680
82	34	588
88	57	220
54	91	643
13	6	240
86	13	505
1	23	89
70	48	451
36	62	528
83	9	408
28	95	534
50	29	684
97	14	628
13	2	537
39	52	726
27	17	217
85	2	738
67	60	539
45	34	655
8	55	476
88	36	65
70	64	668
84	17	280
57	28	167
9	32	332
54	20	990
91	96	879
52	15	140
58	50	125
18	38	349
81	48	133
34	70	146
40	91	729
71	46	977
7	74	646
81	39	46
10	85	321
27	70	106
71	60	302
51	64	62
85	88	843
43	33	160
12	99	186
10	19	466
73	0	986
67	72	138
7	86	604
74	94	141
44	35	607
74	57	845
80	83	328
74	61	148
99	96	530
77	47	161
56	61	598
95	73	702
35	11	367
43	39	269
96	81	241
19	95	248
58	54	850
92	20	273
73	41	789
60	90	543
4	59	275
15	34	397
93	40	529
53	63	383
2	75	339
47	48	385
62	16	908
33	86	999
63	24	864
13	85	141
65	65	759
20	52	918
20	67	936
97	14	329
43	74	830
8	91	355
74	48	319
54	68	537
99	46	890
73	57	920
16	11	365
3	20	165
35	40	113
53	13	105
54	89	316
83	6	29
80	82	68
49	75	587
94	5	999
80	41	663
28	79	98
90	23	179
4	11	253
78	93	538
90	13	431
11	2	441
82	48	383
2	84	448
44	38	882
73	77	549
25	42	169
97	10	548
29	80	530
32	63	773
64	1	616
51	18	119
46	47	459
93	17	902
57	35	745
17	41	891
26	74	641
84	41	162
50	94	103
35	74	289
87	89	574
52	11	180
51	83	993
92	61	119
86	50	478
77	49	254
69	50	412
52	67	253
39	90	537
86	81	977
64	71	665
53	54	433
12	94	148
77	40	505
79	11	981
80	16	556
39	86	733
71	85	584
57	32	868
88	91	941
44	10	936
10	17	564
24	61	795
29	83	345
56	63	735
82	63	868
71	73	899
44	58	198
52	60	93
61	80	209
17	33	625
66	75	45
23	51	737
21	56	378
29	2	426
14	60	122
34	55	249
71	25	154
49	39	57
40	24	460
85	90	106
47	90	595
5	18	927
83	66	47
57	53	879
90	76	399
89	96	657
21	61	490
91	27	982
65	19	151
59	2	691
69	58	484
50	95	955
95	16	709
82	65	898
5	66	580
74	29	791
18	92	450
38	45	714
92	81	126
19	57	911
30	76	209
8	5	855
22	24	263
22	69	779
48	21	658
27	16	694
37	18	819
78	5	787
51	57	704
20	49	604
7	76	512
19	45	613
1	62	829
18	49	513
6	12	413
3	25	861
19	32	761
25	87	147
37	33	96
63	80	953
11	88	882
71	28	991
25	98	183
69	75	404
7	1	938
71	35	675
8	56	705
91	17	100
52	19	615
97	31	194
67	99	168
9	31	310
41	38	462
3	37	774
19	17	402
33	82	327
60	70	18
79	3	84
93	31	111
4	5	399
95	4	653
99	34	615
94	71	630
18	10	671
86	97	250
90	41	305
97	88	858
56	3	917
68	84	318
23	35	799
26	38	200
62	51	311
96	36	993
18	77	11
33	10	364
35	90	995
3	5	69
83	13	613
76	93	979
21	2	939
53	65	238
5	55	710
0	51	528
1	7	369
29	63	302
62	25	150
67	77	741
61	38	661
50	40	200
14	18	724
8	95	474
77	75	921
1	10	823
70	34	852
81	38	829
99	99	441
54	50	361
45	64	14
40	79	550
75	13	164
39	26	583
94	18	896
85	79	155
59	65	214
70	14	172
25	27	334
60	47	786
94	22	524
30	70	135
20	74	727
28	75	887
0	36	720
2	27	101
58	45	381
30	79	151
38	18	396
91	92	579
36	90	767
69	18	68
93	65	684
65	60	446
96	5	682
16	71	126
30	65	824
50	27	491
37	76	58
43	46	190
37	88	63
32	69	192
95	73	854
36	47	624
85	9	119
44	22	541
84	23	263
75	7	939
74	82	355
63	13	157
31	81	596
51	21	748
41	17	722
64	28	903
57	10	435
1	63	371
18	48	494
61	42	495
95	79	320
17	18	791
60	1	271
35	9	961
99	43	275
7	91	337
17	34	752
66	88	72
80	17	734
77	50	435
47	36	903
69	11	80
13	28	243
58	72	372
87	62	47
71	58	818
99	42	712
43	25	497
19	28	334
95	57	99
30	4	999
16	57	157
1	82	517
37	20	262
97	46	374
88	68	590
77	27	141
95	57	674
81	64	606
54	55	589
7	91	45
36	65	379
78	80	252
52	1	909
20	7	662
96	45	864
38	55	476
71	59	43
56	84	790
48	21	627
49	17	346
14	45	962
30	96	291
87	26	555
93	24	445
81	43	890
76	77	5
54	65	912
71	67	692
31	78	174
4	47	989
98	86	377
32	77	683
80	95	266
15	25	961
40	36	302
26	83	638
14	21	830
69	66	694
79	71	893
99	22	32
66	48	987
12	2	817
91	58	523
91	86	486
10	9	920
65	67	233
74	87	208
40	17	795
61	74	639
23	0	545
14	47	871
67	36	988
20	79	527
80	90	128
82	5	968
71	51	215
41	61	168
8	78	141
84	81	197
99	95	174
39	75	791
65	5	169
4	51	606
68	28	735
49	64	35
94	85	891
17	71	220
14	82	905
96	20	705
49	17	979
99	58	961
55	73	786
14	38	113
81	32	288
54	13	268
56	30	212
67	4	728
82	92	912
2	40	610
44	36	415
51	23	573
45	30	753
45	97	485
54	90	796
40	2	348
50	83	319
15	67	95
34	76	790
82	13	323
36	96	594
34	84	939
8	6	437
75	27	857
38	36	301
45	64	999
36	40	561
3	57	775
50	47	328
41	68	184
13	16	957
6	57	964
22	87	969
37	25	974
81	86	292
29	19	903
15	49	734
38	22	992
34	58	789
92	20	767
78	92	99
55	55	658
60	83	441
61	67	781
59	27	954
1	23	269
20	52	363
85	61	478
54	76	373
15	43	609
33	65	951
1	90	274
55	91	398
20	39	195
51	98	40
76	16	561
44	69	941
78	48	622
73	3	177
60	56	280
64	14	722
90	32	570
4	75	89
95	56	950
22	37	399
74	86	305
88	62	279
50	99	886
45	43	437
72	97	566
35	76	938
53	16	60
56	21	162
15	60	303
49	15	913
77	61	535
93	56	933
39	41	35
72	11	862
90	16	726
87	51	126
44	28	227
61	75	274
52	32	937
30	82	77
30	14	479
77	24	601
97	51	232
2	60	506
68	27	235
37	39	421
39	35	498
31	36	220
23	92	142
14	48	26
79	37	286
20	79	610
47	45	253
62	9	974
84	54	846
79	85	498
21	43	281
10	44	168
24	32	939
56	63	258
53	53	91
69	79	301
99	32	137
79	18	426
8	37	471
49	57	808
25	21	657
23	49	627
70	71	815
69	19	686
2	55	173
98	72	804
6	47	740
63	53	814
68	97	861
88	55	668
5	79	320
18	84	608
58	76	438
76	64	469
48	3	929
66	2	23
58	50	627
24	72	274
79	99	718
99	70	402
31	19	625
87	78	33
9	3	408
91	8	558
66	55	966
42	84	543
13	12	314
95	27	644
69	39	832
11	93	417
34	53	87
41	19	746
30	96	311
70	34	552
73	49	348
80	42	596
14	66	492
8	49	727
34	74	169
15	38	437
97	76	258
85	86	642
80	17	901
19	72	312
12	35	287
53	60	734
34	54	926
10	4	172
37	83	842
85	7	260
49	18	159
14	52	547
19	52	521
54	51	854
13	24	571
54	18	532
58	20	975
37	78	869
68	91	161
63	79	678
9	95	87
19	86	863
39	1	20
22	78	91
83	93	789
65	9	1
45	74	40
38	44	137
32	91	943
1	79	810
78	92	642
10	95	428
83	83	395
49	46	258
63	36	529
72	36	564
82	97	339
61	81	582
95	47	655
68	66	373
7	35	688
95	96	514
56	0	497
88	74	502
43	38	575
83	55	842
33	86	814
1	0	599
9	15	321
83	28	145
48	90	639
81	50	253
57	36	541
23	16	845
23	54	803
38	1	882
60	22	400
48	12	131
85	50	106
35	32	918
24	68	990
38	75	431
10	99	759
73	12	93
61	69	878
70	35	287
9	96	239
93	62	787
19	81	252
48	78	481
82	59	94
81	60	210
82	16	336
6	47	318
9	43	135
74	61	886
59	95	661
48	31	598
66	54	809
57	55	986
58	19	49
23	84	875
28	24	847
74	93	782
18	34	5
47	45	813
48	20	873
79	57	609
26	21	346
1	24	295
7	63	546
47	61	530
87	16	260
42	92	859
74	11	836
35	39	116
73	0	384
0	49	497
73	76	72
5	28	833
51	27	859
76	26	316
11	93	535
79	31	267
52	54	998
70	56	259
82	88	338
52	34	956
32	73	986
57	25	32
84	17	237
74	39	285
19	23	851
89	48	65
71	77	73
11	95	960
78	30	699
90	85	311
62	54	982
73	73	574
7	57	230
8	38	601
99	57	385
59	14	881
18	31	484
45	20	747
88	19	390
61	15	529
50	1	157
83	7	26
80	40	706
29	66	185
69	10	129
67	45	340
93	12	305
34	58	233
65	33	203
40	21	653
88	3	581
67	1	185
91	77	319
50	85	486
17	52	203
13	31	73
11	83	36
78	37	690
48	69	239
71	50	128
33	29	616
37	18	840
90	23	261
73	10	620
28	38	282
49	15	985
50	28	585
0	22	10
22	49	57
50	65	779
97	3	141
5	95	996
25	97	558
88	29	178
4	61	159
21	95	256
83	99	780
76	85	705
26	16	436
74	60	475
4	69	558
57	31	789
72	67	113
45	53	781
50	56	488
10	82	109
44	90	894
34	12	101
51	8	367
58	67	87
68	17	734
63	54	933
24	60	401
64	41	702
42	27	785
88	99	540
48	27	755
84	72	768
28	76	959
62	60	563
54	98	293
53	76	901
94	6	188
35	84	553
15	81	450
38	47	377
84	91	582
73	34	106
23	54	396
93	3	68
40	98	965
77	53	621
73	58	821
0	31	866
87	8	781
39	56	775
4	39	563
83	46	363
93	52	815
45	61	462
71	97	96
12	59	914
31	19	900
51	92	303
78	12	948
54	62	50
40	51	89
40	61	560
11	30	278
84	88	261
78	25	623
10	55	868
87	39	290
1	67	761
40	66	826
25	5	587
34	77	607
10	95	954
21	14	653
23	12	564
56	83	187
40	22	567
5	91	547
83	87	439
83	58	425
92	23	15
58	88	242
39	13	384
63	47	505
59	56	210
87	51	457
82	97	826
64	68	112
97	68	524
60	25	616
57	91	500
81	53	791
0	79	295
81	86	407
92	97	429
93	66	47
54	19	429
49	35	658
12	40	930
31	77	150
15	36	713
37	72	16
51	13	513
13	2	765
89	16	118
33	36	149
77	37	313
56	59	194
18	83	526
22	33	619
65	26	465
47	18	912
10	6	840
48	45	389
39	60	505
89	70	774
13	28	866
37	58	794
59	47	433
78	28	843
74	11	511
77	53	215
89	33	965
25	38	4
97	78	528
64	53	51
74	72	307
56	97	87
65	46	636
13	50	302
57	60	501
24	78	866
33	6	505
53	63	363
97	96	331
69	86	571
97	85	339
7	85	348
38	74	695
65	53	411
32	65	399
14	23	763
55	39	70
23	45	225
96	55	751
31	62	463
78	50	537
78	70	263
17	53	787
28	85	162
64	44	326
24	86	556
55	16	67
41	4	797
60	84	754
10	89	219
86	19	205
78	31	742
4	41	316
46	14	650
80	7	256
45	96	696
40	3	269
76	53	703
76	57	419
34	84	622
62	77	234
23	45	266
32	51	619
86	65	496
39	44	931
98	45	260
2	5	788
81	48	814
88	38	258
23	22	433
48	10	835
77	83	532
60	2	997
1	50	353
29	19	400
4	27	931
65	72	217
25	1	453
33	81	262
40	56	359
92	81	302
55	15	329
4	89	361
14	9	376
87	40	417
24	74	542
81	84	610
92	27	109
82	99	638
63	45	953
39	31	23
65	57	151
36	25	877
29	62	771
4	25	326
31	46	631
45	69	671
95	25	203
49	2	58
39	96	541
48	0	312
90	54	275
65	34	57
96	93	393
41	74	357
24	35	961
16	25	647
22	25	657
80	7	72
17	21	454
72	3	507
34	72	514
65	98	285
87	21	484
93	81	223
0	33	696
34	19	115
40	3	423
48	88	416
6	8	150
73	95	866
32	90	404
95	31	755
90	58	123
57	73	295
35	26	355
82	46	684
50	42	789
29	40	464
94	66	778
16	43	895
39	14	456
3	51	508
99	95	329
94	32	956
91	64	635
52	21	898
5	37	520
4	68	197
16	85	142
88	25	455
73	72	648
64	41	214
9	30	53
20	4	325
10	70	194
41	9	93
62	15	17
98	14	192
15	76	753
3	43	448
55	47	534
11	18	19
84	81	356
89	31	26
91	92	986
93	15	933
20	68	442
60	18	919
68	8	697
83	0	520
10	98	326
20	65	358
0	22	318
12	45	829
71	51	86
12	55	399
37	85	249
21	4	553
90	86	338
79	1	633
2	92	844
82	35	805
55	6	715
94	82	372
54	42	794
65	59	992
68	90	905
74	51	368
92	0	346
59	17	650
53	28	907
98	36	372
78	33	51
5	9	26
99	95	32
97	89	864
15	52	420
23	48	18
64	81	791
36	27	48
27	61	230
39	47	952
14	43	275
77	95	412
87	19	376
59	74	947
51	11	723
24	6	911
56	85	173
16	61	107
87	72	426
57	16	977
95	6	363
4	20	342
5	90	303
34	91	477
2	30	584
5	75	639
98	57	872
83	81	914
29	47	247
64	87	885
23	2	116
95	88	758
55	2	127
36	93	862
20	63	995
22	14	16
11	9	396
98	79	500
16	88	569
46	9	452
17	40	807
2	28	946
11	1	441
14	47	734
39	11	325
67	40	971
80	69	591
35	16	410
72	74	483
86	97	246
82	24	836
42	79	20
10	87	302
80	44	877
85	9	346
49	6	624
0	20	439
87	83	915
18	10	258
11	58	911
74	83	866
82	9	16
66	15	809
35	64	438
81	54	306
3	26	612
82	45	172
41	43	708
47	57	948
58	33	143
99	4	323
87	21	74
1	95	945
10	88	589
16	99	599
90	2	560
80	74	425
99	43	423
34	95	500
57	9	4
5	79	483
99	88	442
94	8	883
82	22	234
43	14	8
94	17	252
14	17	493
89	69	916
81	46	104
55	29	300
65	59	427
69	89	380
66	73	414
92	67	304
53	76	962
81	76	693
51	30	102
59	61	623
49	84	517
14	38	361
70	36	404
5	43	817
64	32	238
26	24	877
18	2	338
42	61	750
46	91	663
25	74	496
3	54	830
98	8	640
91	25	362
85	11	843
66	66	525
80	75	894
13	35	954
44	21	410
22	50	280
35	96	951
15	22	175
63	6	953
47	1	362
64	70	616
10	47	293
27	81	393
17	71	937
42	24	525
4	33	450
97	23	388
20	22	156
95	1	469
19	94	844
75	54	23
16	84	266
35	39	623
11	98	748
95	8	113
94	0	100
31	45	651
67	81	171
31	35	822
70	8	314
19	67	728
46	59	365
45	42	178
19	18	806
42	41	975
53	44	721
1	75	585
70	10	565
61	58	929
55	44	958
36	7	25
34	18	230
8	23	216
88	90	116
69	25	960
65	73	103
94	8	128
43	97	210
5	35	985
77	26	202
52	70	986
2	90	172
32	6	38
79	40	817
55	96	878
63	71	536
58	58	401
58	96	986
37	24	192
31	83	254
69	53	85
61	87	693
92	32	783
13	71	291
37	10	250
56	69	183
51	98	832
37	26	390
13	80	722
82	99	423
29	38	913
55	49	21
74	56	621
67	1	883
78	30	716
55	2	707
74	29	794
78	91	580
64	96	128
61	72	731
27	83	111
70	37	883
82	53	691
6	14	386
0	39	617
75	43	662
91	71	230
62	26	768
20	19	167
16	86	229
92	96	160
16	14	799
99	54	457
43	57	893
41	5	455
40	82	940
67	39	82
44	72	820
17	65	858
63	23	859
94	29	274
0	67	307
41	38	874
59	79	864
43	82	629
6	48	267
18	53	238
39	17	96
65	14	974
43	36	759
63	56	912
59	37	769
20	41	185
92	86	592
23	73	869
4	5	380
4	77	653
83	18	450
63	49	719
53	87	648
81	37	6
89	85	63
41	72	705
29	92	146
20	53	860
55	55	53
9	25	59
1	31	467
44	89	33
71	65	223
93	62	949
74	82	111
41	92	744
2	94	132
91	26	129
89	48	392
11	31	105
29	81	538
38	65	199
96	74	691
75	40	750
43	62	348
20	98	881
58	45	363
75	70	181
27	85	310
17	86	456
90	38	290
72	74	436
28	12	875
38	6	858
52	82	849
44	77	948
53	47	395
87	85	697
81	74	326
98	91	246
89	21	109
77	41	940
51	52	279
72	27	847
96	43	885
20	81	76
37	69	185
8	10	300
91	69	876
80	97	994
0	62	368
44	15	443
60	78	464
36	23	365
71	45	477
64	30	324
74	44	506
55	38	121
3	51	464
63	4	148
44	11	437
59	89	616
90	72	868
68	69	328
54	68	832
55	10	647
11	95	871
96	32	709
39	19	898
15	62	205
1	25	708
3	91	987
0	70	929
85	1	696
6	52	847
50	93	452
94	88	737
54	27	744
15	19	452
16	44	966
29	33	433
86	20	934
69	29	343
65	20	842
28	4	310
90	23	901
44	31	669
44	76	390
51	75	330
36	88	844
76	10	970
88	88	608
15	40	343
54	83	524
41	30	679
58	96	439
36	56	976
20	22	150
14	69	45
17	86	45
39	83	86
70	0	675
4	43	299
3	67	421
32	96	655
46	30	447
99	62	270
28	48	977
79	52	226
93	6	450
54	40	280
48	54	896
97	37	312
56	50	918
94	16	157
15	95	24
56	20	96
94	50	373
74	52	52
94	38	899
35	4	960
9	32	187
52	67	258
78	23	945
22	77	999
77	34	288
57	24	242
53	29	720
78	99	102
57	30	397
21	94	339
83	66	457
17	30	154
11	2	318
45	53	286
76	72	56
36	82	222
16	44	120
34	63	910
81	78	17
80	41	433
28	98	251
3	85	380
44	97	20
76	37	864
89	69	105
36	33	643
67	45	570
91	1	187
51	49	457
34	92	936
10	85	44
24	61	399
64	51	790
80	56	888
78	39	344
26	7	49
16	81	322
97	49	262
40	21	863
13	10	809
67	59	699
20	68	419
43	26	34
37	96	465
41	57	670
11	14	404
44	48	416
57	55	62
86	67	429
4	98	477
90	27	891
31	55	454
88	72	832
1	93	196
62	98	73
25	11	665
93	92	987
63	84	724
45	11	887
2	23	975
16	20	321
73	94	794
5	57	226
48	41	442
13	55	827
18	0	565
66	34	711
78	36	822
83	57	45
18	92	4
83	23	533
66	7	93
72	60	636
30	92	440
77	82	944
79	99	987
78	43	681
43	4	83
0	64	32
43	17	665
73	8	453
97	49	312
93	30	789
40	65	11
97	3	480
88	89	985
2	74	256
16	50	713
73	61	850
73	77	453
55	89	822
62	47	469
55	95	471
52	96	227
79	8	800
21	3	548
62	73	496
80	51	226
84	47	432
86	90	495
25	80	396
73	10	169
99	37	475
90	87	338
84	58	76
52	96	967
37	39	920
96	52	242
81	68	705
39	28	153
48	8	496
79	62	598
58	52	131
15	7	915
54	13	937
26	37	171
42	87	396
45	2	398
10	19	682
48	84	447
69	30	28
65	93	73
59	17	661
35	90	401
25	50	687
6	49	408
2	19	979
45	10	671
92	73	329
96	86	574
34	29	300
60	78	959
86	2	345
28	47	605
36	46	579
55	7	18
19	30	122
65	18	969
49	9	673
85	97	26
22	54	288
33	44	410
23	37	594
39	11	209
85	41	390
61	36	624
57	48	973
63	87	676
85	83	650
67	51	513
50	75	322
50	25	637
9	62	519
37	70	74
71	98	316
85	4	713
35	29	823
39	28	790
33	13	831
44	12	788
21	71	889
28	35	259
12	35	522
99	49	113
35	17	455
59	81	884
87	87	58
94	75	953
7	54	253
64	49	189
2	12	233
63	95	712
79	29	449
69	13	610
48	73	583
50	46	356
12	53	797
76	41	204
90	98	957
16	17	254
7	92	65
62	53	607
52	73	872
13	58	856
16	71	980
14	69	390
81	41	297
6	13	231
35	50	79
18	53	413
18	16	700
41	29	464
56	66	187
5	89	261
72	89	998
22	71	935
4	43	761
45	79	638
41	15	294
16	67	908
36	1	634
79	50	47
42	55	724
71	13	617
85	97	982
60	11	924
15	41	396
97	34	4
35	40	109
37	15	523
80	75	11
15	3	315
14	65	834
74	76	56
56	51	797
23	92	386
82	23	577
60	3	159
47	25	248
52	42	98
64	51	334
86	62	374
89	2	376
24	99	438
17	93	250
59	82	107
29	78	517
36	40	850
18	18	576
75	18	285
17	63	702
20	21	19
23	31	532
1	21	230
36	24	532
22	39	306
0	43	884
19	43	494
51	19	230
37	47	334
31	41	920
99	12	243
8	94	87
45	90	609
91	3	483
17	81	869
19	15	178
88	12	209
21	91	358
36	82	937
45	97	122
87	57	682
73	58	627
26	63	767
97	91	384
66	27	412
66	78	578
55	92	144
7	95	591
45	24	388
45	4	303
55	88	23
98	62	472
62	28	444
64	23	944
82	59	294
24	84	660
67	43	700
46	20	272
15	89	529
35	68	194
90	2	616
56	57	422
67	17	473
0	26	503
49	36	227
32	75	856
26	71	357
53	7	647
43	97	624
66	54	208
66	30	938
65	87	254
3	82	416
99	53	162
94	58	573
29	40	883
3	53	15
66	85	476
27	59	673
36	87	37
97	61	243
41	11	189
4	98	298
15	84	645
97	88	871
2	35	918
21	21	114
26	53	753
7	3	991
83	95	681
54	15	440
63	32	434
37	48	389
11	5	706
17	43	667
27	0	160
50	8	915
24	61	303
16	94	45
73	57	601
14	47	811
98	4	915
26	86	971
5	48	497
32	22	523
46	45	870
68	32	951
95	2	831
15	78	431
70	43	127
86	5	376
49	15	633
18	97	420
4	81	235
48	78	320
99	72	756
24	3	966
90	97	413
37	31	969
87	79	907
18	17	438
75	49	685
37	58	719
42	65	800
44	80	201
21	46	889
56	99	140
28	88	629
10	4	745
13	78	611
76	77	343
31	35	594
66	44	510
52	4	671
98	22	960
23	80	989
6	46	499
42	33	941
9	96	671
34	65	680
69	64	719
55	14	655
76	21	187
18	24	515
64	26	298
33	0	138
30	75	472
51	36	683
19	7	638
10	87	782
54	17	863
5	37	540
86	78	27
80	86	830
39	0	629
12	18	379
20	38	461
48	58	965
35	48	866
24	59	944
27	53	575
59	27	769
93	42	172
66	6	648
11	87	324
55	22	4
11	65	968
42	80	32
3	32	813
37	63	928
80	7	284
40	69	569
29	1	132
19	20	335
15	36	356
26	61	24
16	58	539
69	0	922
3	9	539
93	10	658
46	97	74
71	87	703
13	28	806
31	71	700
84	19	874
95	6	734
43	70	528
46	71	750
28	23	819
42	97	496
72	71	469
98	69	12
23	9	648
68	25	57
14	97	680
40	64	869
74	26	81
32	61	400
22	20	444
68	84	892
32	35	177
